2022-04-26 19:45:16.926 | WARNING  | model:Eeg:34 - This is Eeg
2022-04-26 19:45:16.942 | INFO     | model:Sensor:77 - 串口打开成功！
2022-04-26 19:47:43.898 | WARNING  | model:Eeg:34 - This is Eeg
2022-04-26 19:47:43.914 | INFO     | model:Sensor:77 - 串口打开成功！
2022-04-26 19:47:44.923 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.923 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.923 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.923 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.923 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.923 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.923 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.923 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.923 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.923 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.929 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.929 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.930 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.930 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.930 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.931 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.931 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.964 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.964 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.964 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.964 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.964 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.964 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.964 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.964 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.970 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.970 | WARNING  | model:Sensor:85 - Sensor
2022-04-26 19:47:44.970 | WARNING  | model:Sensor:85 - Sensor
